,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
23647,2019,1,1,2,NK,N647NK,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1911.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18921,2019,1,1,2,WN,N913WN,PDX,"Portland, OR",LAS,"Las Vegas, NV",1319.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8137,2019,1,1,2,DL,N897DN,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",803.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8140,2019,1,1,2,DL,N308DN,DTW,"Detroit, MI",LAS,"Las Vegas, NV",2226.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
18920,2019,1,1,2,WN,N7751A,PDX,"Portland, OR",LAS,"Las Vegas, NV",1903.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8145,2019,1,1,2,DL,N829DN,JFK,"New York, NY",LAS,"Las Vegas, NV",1430.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8147,2019,1,1,2,DL,N320NB,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1332.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8149,2019,1,1,2,DL,N813DN,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",1707.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3609,2019,1,1,2,AA,N982NN,JFK,"New York, NY",LAS,"Las Vegas, NV",947.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18912,2019,1,1,2,WN,N295WN,OMA,"Omaha, NE",LAS,"Las Vegas, NV",721.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18913,2019,1,1,2,WN,N904WN,OMA,"Omaha, NE",LAS,"Las Vegas, NV",1759.0,69.0,69.0,1.0,9.0,0.0,0.0,0.0,60.0
18914,2019,1,1,2,WN,N7888A,ONT,"Ontario, CA",LAS,"Las Vegas, NV",2301.0,26.0,26.0,1.0,0.0,0.0,2.0,0.0,24.0
18915,2019,1,1,2,WN,N8624J,ONT,"Ontario, CA",LAS,"Las Vegas, NV",752.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
18453,2019,1,1,2,AA,N156AN,DFW,"Dallas/Fort Worth, TX",LAS,"Las Vegas, NV",1735.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3567,2019,1,1,2,AA,N988AL,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1349.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23554,2019,1,1,2,NK,N630NK,DTW,"Detroit, MI",LAS,"Las Vegas, NV",2143.0,37.0,37.0,1.0,0.0,0.0,37.0,0.0,0.0
18916,2019,1,1,2,WN,N241WN,ONT,"Ontario, CA",LAS,"Las Vegas, NV",1331.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
18917,2019,1,1,2,WN,N901WN,ONT,"Ontario, CA",LAS,"Las Vegas, NV",1811.0,16.0,16.0,1.0,0.0,0.0,16.0,0.0,0.0
18918,2019,1,1,2,WN,N8628A,PDX,"Portland, OR",LAS,"Las Vegas, NV",2206.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
17360,2019,1,1,2,NK,N645NK,OAK,"Oakland, CA",LAS,"Las Vegas, NV",717.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18919,2019,1,1,2,WN,N733SA,PDX,"Portland, OR",LAS,"Las Vegas, NV",851.0,36.0,36.0,1.0,0.0,0.0,36.0,0.0,0.0
8169,2019,1,1,2,DL,N836DN,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",1213.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8170,2019,1,1,2,DL,N308DN,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",841.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8172,2019,1,1,2,DL,N897DN,JFK,"New York, NY",LAS,"Las Vegas, NV",2311.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8174,2019,1,1,2,DL,N594NW,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1743.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8175,2019,1,1,2,DL,N330DX,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",945.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8177,2019,1,1,2,DL,N340DN,DTW,"Detroit, MI",LAS,"Las Vegas, NV",1737.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8180,2019,1,1,2,DL,N702TW,JFK,"New York, NY",LAS,"Las Vegas, NV",1121.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8181,2019,1,1,2,DL,N345DN,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",2306.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8183,2019,1,1,2,DL,N3763D,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1024.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8187,2019,1,1,2,DL,N809DN,JFK,"New York, NY",LAS,"Las Vegas, NV",1832.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13071,2019,1,1,2,B6,N987JB,JFK,"New York, NY",LAS,"Las Vegas, NV",1100.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13067,2019,1,1,2,B6,N985JB,BOS,"Boston, MA",LAS,"Las Vegas, NV",929.0,25.0,25.0,1.0,0.0,0.0,25.0,0.0,0.0
8167,2019,1,1,2,DL,N364DX,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1313.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18911,2019,1,1,2,WN,N786SW,OKC,"Oklahoma City, OK",LAS,"Las Vegas, NV",1638.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8164,2019,1,1,2,DL,N832DN,DTW,"Detroit, MI",LAS,"Las Vegas, NV",1336.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17408,2019,1,1,2,OO,N252SY,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",2045.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17414,2019,1,1,2,OO,N241SY,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1620.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8155,2019,1,1,2,DL,N927DN,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",1838.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8156,2019,1,1,2,DL,N983AT,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1734.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8157,2019,1,1,2,DL,N326DN,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1128.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8159,2019,1,1,2,DL,N331DN,DTW,"Detroit, MI",LAS,"Las Vegas, NV",951.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8160,2019,1,1,2,DL,N906AT,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",2015.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8161,2019,1,1,2,DL,N348DN,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1504.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28927,2019,1,1,2,UA,N67845,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",1751.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3719,2019,1,1,2,WN,N719SW,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1631.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3718,2019,1,1,2,WN,N8536Z,SEA,"Seattle, WA",LAS,"Las Vegas, NV",956.0,31.0,31.0,1.0,31.0,0.0,0.0,0.0,0.0
3717,2019,1,1,2,WN,N237WN,SDF,"Louisville, KY",LAS,"Las Vegas, NV",2009.0,109.0,109.0,1.0,5.0,0.0,3.0,0.0,101.0
3716,2019,1,1,2,WN,N8698B,SAT,"San Antonio, TX",LAS,"Las Vegas, NV",1429.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3715,2019,1,1,2,WN,N947WN,SAT,"San Antonio, TX",LAS,"Las Vegas, NV",1141.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3714,2019,1,1,2,WN,N747SA,SAT,"San Antonio, TX",LAS,"Las Vegas, NV",2002.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3713,2019,1,1,2,WN,N7832A,SAT,"San Antonio, TX",LAS,"Las Vegas, NV",623.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13878,2019,1,1,2,F9,N926FR,DEN,"Denver, CO",LAS,"Las Vegas, NV",927.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3720,2019,1,1,2,WN,N278WN,SEA,"Seattle, WA",LAS,"Las Vegas, NV",2014.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13876,2019,1,1,2,F9,N723FR,DEN,"Denver, CO",LAS,"Las Vegas, NV",2024.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13874,2019,1,1,2,F9,N717FR,STL,"St. Louis, MO",LAS,"Las Vegas, NV",1839.0,19.0,19.0,1.0,11.0,0.0,8.0,0.0,0.0
13873,2019,1,1,2,F9,N715FR,CLE,"Cleveland, OH",LAS,"Las Vegas, NV",2258.0,59.0,59.0,1.0,5.0,0.0,11.0,0.0,43.0
13871,2019,1,1,2,F9,N344FR,IND,"Indianapolis, IN",LAS,"Las Vegas, NV",1249.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
13869,2019,1,1,2,F9,N336FR,CVG,"Cincinnati, OH",LAS,"Las Vegas, NV",9.0,478.0,478.0,1.0,1.0,0.0,7.0,0.0,470.0
13868,2019,1,1,2,F9,N329FR,SJC,"San Jose, CA",LAS,"Las Vegas, NV",2128.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13866,2019,1,1,2,F9,N329FR,TPA,"Tampa, FL",LAS,"Las Vegas, NV",1650.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13864,2019,1,1,2,F9,N328FR,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1614.0,30.0,30.0,1.0,20.0,0.0,0.0,0.0,10.0
3721,2019,1,1,2,WN,N7734H,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",1108.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3722,2019,1,1,2,WN,N7840A,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",2244.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3723,2019,1,1,2,WN,N219WN,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",902.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3748,2019,1,1,2,WN,N7858A,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",1340.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3747,2019,1,1,2,WN,N8727M,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",1515.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
3746,2019,1,1,2,WN,N438WN,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",1814.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
3745,2019,1,1,2,WN,N565WN,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",2230.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3744,2019,1,1,2,WN,N719SW,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",1006.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3743,2019,1,1,2,WN,N943WN,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",604.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3742,2019,1,1,2,WN,N477WN,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",1749.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3741,2019,1,1,2,WN,N8667D,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",1240.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3740,2019,1,1,2,WN,N741SA,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",2218.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
